,team,name,position,player_url
239,Atlético Madrid,Horaţiu Moldovan,GK,https://fbref.com/en/players/771ded26/Horatiu-Moldovan
240,Arsenal,David Raya,GK,https://fbref.com/en/players/98ea5115/David-Raya
241,Arsenal,William Saliba,DF,https://fbref.com/en/players/972aeb2a/William-Saliba
242,Arsenal,Gabriel Magalhães,DF,https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes
243,Arsenal,Kai Havertz,FW,https://fbref.com/en/players/fed7cb61/Kai-Havertz
244,Arsenal,Thomas Partey,MF,https://fbref.com/en/players/529f49ab/Thomas-Partey
245,Arsenal,Jurriën Timber,DF,https://fbref.com/en/players/41034650/Jurrien-Timber
246,Arsenal,Declan Rice,MF,https://fbref.com/en/players/1c7012b8/Declan-Rice
247,Arsenal,Gabriel Martinelli,FW,https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli
248,Arsenal,Leandro Trossard,FW,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
249,Arsenal,Bukayo Saka,FW,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
250,Arsenal,Martin Ødegaard,MF,https://fbref.com/en/players/79300479/Martin-Odegaard
251,Arsenal,Mikel Merino,MF,https://fbref.com/en/players/d080ed5e/Mikel-Merino
252,Arsenal,Riccardo Calafiori,DF,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori
253,Arsenal,Ben White,DF,https://fbref.com/en/players/35e413f1/Ben-White
254,Arsenal,Myles Lewis-Skelly,DF,https://fbref.com/en/players/5dff6c28/Myles-Lewis-Skelly
255,Arsenal,Gabriel Jesus,FW,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
256,Arsenal,Jorginho,MF,https://fbref.com/en/players/45db685d/Jorginho
257,Arsenal,Ethan Nwaneri,MF,https://fbref.com/en/players/7f94982c/Ethan-Nwaneri
258,Arsenal,Raheem Sterling,FW,https://fbref.com/en/players/b400bde0/Raheem-Sterling
259,Arsenal,Jakub Kiwior,DF,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior
260,Arsenal,Oleksandr Zinchenko,DF,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
261,Arsenal,Kieran Tierney,FW,https://fbref.com/en/players/fce2302c/Kieran-Tierney
262,Arsenal,Takehiro Tomiyasu,DF,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu
263,Arsenal,Reiss Nelson,FW,https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson
264,Arsenal,Nathan Butler-Oyedeji,FW,https://fbref.com/en/players/3a686640/Nathan-Butler-Oyedeji
265,Arsenal,Ayden Heaven,DF,https://fbref.com/en/players/64e17fab/Ayden-Heaven
266,Arsenal,Ismeal Kabia,MF,https://fbref.com/en/players/6b15cf32/Ismeal-Kabia
267,Arsenal,Maldini Kacurri,DF,https://fbref.com/en/players/7be4311f/Maldini-Kacurri
268,Arsenal,Neto,GK,https://fbref.com/en/players/a9dc785c/Neto
269,Arsenal,Josh Nichols,DF,https://fbref.com/en/players/676cf55d/Josh-Nichols
270,Barcelona,Raphinha,FW,https://fbref.com/en/players/3423f250/Raphinha
271,Barcelona,Jules Koundé,DF,https://fbref.com/en/players/4d1666ff/Jules-Kounde
272,Barcelona,Pau Cubarsí,DF,https://fbref.com/en/players/cc7888f3/Pau-Cubarsi
273,Barcelona,Robert Lewandowski,FW,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
274,Barcelona,Pedri,MF,https://fbref.com/en/players/0d9b2d31/Pedri
275,Barcelona,Iñigo Martínez,DF,https://fbref.com/en/players/3fc45c73/Inigo-Martinez
276,Barcelona,Alejandro Balde,DF,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
277,Barcelona,Lamine Yamal,FW,https://fbref.com/en/players/82ec26c1/Lamine-Yamal
278,Barcelona,Marc Casado,MF,https://fbref.com/en/players/2ef08833/Marc-Casado
279,Barcelona,Iñaki Peña,GK,https://fbref.com/en/players/cc1c5035/Inaki-Pena
